Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1690.234086238532
FDW14,OUT017,1481.8506141732287
NCN55,OUT010,584.7577647727275
FDQ58,OUT017,2649.1102324324315
FDY38,OUT027,6280.89088
FDH56,OUT046,1922.1493817142857
FDL48,OUT018,713.8586545454547
FDC48,OUT027,2517.882088484849
FDN33,OUT045,1559.342975268818
FDA36,OUT017,2752.9709346534655
FDT44,OUT017,1922.1493817142857
FDQ56,OUT045,1481.8506141732287
NCC54,OUT019,584.7577647727275
FDU11,OUT049,2142.743570940171
DRL59,OUT013,713.8586545454547
FDM24,OUT049,2286.4132673684203
FDI57,OUT045,3130.0049049504946
DRC12,OUT018,2893.83982589928
NCM42,OUT027,3242.062071532848
FDA46,OUT010,482.69954262295084
FDA31,OUT013,2851.631695876289
NCJ31,OUT035,3737.2957751824815
FDG52,OUT046,798.2176035398227
NCL19,OUT019,281.48208181818165
FDS10,OUT035,3384.108064242422
FDX22,OUT010,584.7577647727275
NCF19,OUT035,798.2176035398227
NCE06,OUT046,2503.5013364485994
DRC27,OUT046,4109.900606217617
FDE21,OUT035,1922.1493817142857
NCR42,OUT019,92.67548155339807
FDX51,OUT018,2893.83982589928
NCR06,OUT018,507.04640366972495
FDU31,OUT027,5329.3147244444435
FDU59,OUT017,2503.5013364485994
FDR03,OUT027,5329.3147244444435
FDS49,OUT027,2517.882088484849
FDD48,OUT010,281.48208181818165
NCF18,OUT017,2939.3484761904747
NCD43,OUT027,2517.882088484849
NCD54,OUT018,1752.25244
FDY19,OUT010,281.48208181818165
NCY54,OUT017,2851.631695876289
NCL19,OUT018,2232.84702184874
FDP23,OUT010,584.7577647727275
FDC26,OUT013,1511.8747716981131
FDR14,OUT010,165.91858165137614
NCS41,OUT035,3384.108064242422
FDF41,OUT035,3737.2957751824815
FDU34,OUT046,1987.2510486486476
DRH11,OUT046,935.0323883040934
FDM03,OUT013,1511.8747716981131
FDS31,OUT017,3384.108064242422
FDJ20,OUT017,2142.743570940171
FDV44,OUT027,5329.3147244444435
FDG02,OUT049,2752.9709346534655
FDA09,OUT013,2851.631695876289
FDT04,OUT013,507.04640366972495
FDL58,OUT019,584.7577647727275
FDE52,OUT045,1424.5946902777782
FDW12,OUT035,2286.4132673684203
FDL51,OUT017,3753.000099363057
NCY42,OUT027,3242.062071532848
FDR07,OUT017,1559.342975268818
FDN40,OUT045,2286.4132673684203
FDB35,OUT027,2517.882088484849
FDA22,OUT017,2286.4132673684203
NCL06,OUT046,4034.300306896552
FDI35,OUT013,3384.108064242422
NCW42,OUT045,3753.000099363057
NCX06,OUT049,2568.33283364486
FDC37,OUT027,2517.882088484849
FDZ14,OUT018,1752.25244
DRG49,OUT049,3454.062559154929
NCG06,OUT045,4034.300306896552
DRC36,OUT045,2851.631695876289
FDV21,OUT019,281.48208181818165
FDB53,OUT046,2660.9504030303024
DRP47,OUT019,584.7577647727275
FDA14,OUT013,2660.9504030303024
DRC24,OUT035,2660.9504030303024
FDW21,OUT018,1372.6884907407411
NCH29,OUT046,1559.342975268818
FDU58,OUT013,2893.83982589928
FDY27,OUT017,2851.631695876289
FDV56,OUT035,1784.4287381818176
FDT59,OUT046,4109.900606217617
FDB23,OUT046,3753.000099363057
FDR49,OUT045,798.2176035398227
FDB03,OUT010,584.7577647727275
FDN39,OUT045,2453.747700699301
FDX02,OUT027,5329.3147244444435
FDQ16,OUT027,2517.882088484849
FDU35,OUT018,1372.6884907407411
NCT29,OUT013,1987.2510486486476
FDZ27,OUT046,798.2176035398227
FDN57,OUT017,2309.200798
FDA03,OUT018,2232.84702184874
FDZ36,OUT045,3384.108064242422
NCU05,OUT013,1243.0689297709919
FDT39,OUT018,2232.84702184874
FDK60,OUT017,1559.342975268818
FDZ25,OUT017,2894.2207107142867
FDG12,OUT046,2243.669596721312
DRB01,OUT019,482.69954262295084
NCC43,OUT027,6280.89088
FDX13,OUT019,584.7577647727275
FDM22,OUT049,796.6402682539685
FDJ03,OUT027,1378.2631852760742
FDU14,OUT018,3327.9525829268287
FDB33,OUT010,346.8972837209302
FDP27,OUT046,3391.5912527272726
FDO38,OUT010,165.91858165137614
FDE28,OUT027,6280.89088
FDO27,OUT035,1559.342975268818
DRL23,OUT027,2517.882088484849
FDS28,OUT046,935.0323883040934
FDX24,OUT013,1481.8506141732287
FDZ02,OUT035,1559.342975268818
FDL46,OUT045,1827.8328454545451
FDS60,OUT027,5329.3147244444435
NCO06,OUT017,583.8145788617887
