Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1639.898173109076
FDW14,OUT017,1373.1285167025508
NCN55,OUT010,572.7878731339042
FDQ58,OUT017,2480.384581156011
FDY38,OUT027,5846.802046552309
FDH56,OUT046,1918.4772607998186
FDL48,OUT018,822.9394933710154
FDC48,OUT027,2117.8448534146755
FDN33,OUT045,1533.4472911877374
FDA36,OUT017,3107.616444127535
FDT44,OUT017,1922.2044530776068
FDQ56,OUT045,1376.3709592314262
NCC54,OUT019,572.7835423376359
FDU11,OUT049,2010.6991068200018
DRL59,OUT013,809.8812682671112
FDM24,OUT049,2446.8036598874446
FDI57,OUT045,3042.753989098505
DRC12,OUT018,2916.519573978368
NCM42,OUT027,2918.1587260284914
FDA46,OUT010,507.03773072138006
FDA31,OUT013,2845.0496844807626
NCJ31,OUT035,3845.5192595310577
FDG52,OUT046,779.7184430180657
NCL19,OUT019,288.2239853363936
FDS10,OUT035,2991.0484951615445
FDX22,OUT010,564.9089722580034
NCF19,OUT035,780.1514748138773
NCE06,OUT046,2536.913313862463
DRC27,OUT046,3913.049668560673
FDE21,OUT035,1948.522348485273
NCR42,OUT019,131.85209367569695
FDX51,OUT018,2968.565022811453
NCR06,OUT018,671.3840223999722
FDU31,OUT027,5846.802046552309
FDU59,OUT017,2547.3543048622796
FDR03,OUT027,5845.557220920115
FDS49,OUT027,2024.7818174642057
FDD48,OUT010,268.8965189221185
NCF18,OUT017,3030.6662885808446
NCD43,OUT027,2862.0818673822305
NCD54,OUT018,2132.6799271958002
FDY19,OUT010,269.59110309613726
NCY54,OUT017,2861.464873591686
NCL19,OUT018,2442.9134606486723
FDP23,OUT010,569.8547446758791
FDC26,OUT013,1737.522680971732
FDR14,OUT010,131.85209367569695
NCS41,OUT035,3120.7161297364464
FDF41,OUT035,3883.9513052251
FDU34,OUT046,2035.5175669591097
DRH11,OUT046,893.6972342250691
FDM03,OUT013,1644.9257705763805
FDS31,OUT017,3072.495208670056
FDJ20,OUT017,2003.906524479455
FDV44,OUT027,5153.926906035859
FDG02,OUT049,3120.616186466344
FDA09,OUT013,2994.2835906717864
FDT04,OUT013,635.3247157189645
FDL58,OUT019,571.8089958953085
FDE52,OUT045,1379.8856967490092
FDW12,OUT035,2477.852796476266
FDL51,OUT017,3673.3135052865646
NCY42,OUT027,3023.6004161172254
FDR07,OUT017,1553.0587904944769
FDN40,OUT045,2458.4962453712105
FDB35,OUT027,2670.8778078669156
FDA22,OUT017,2552.629502351388
NCL06,OUT046,4144.014497205132
FDI35,OUT013,3049.05333239864
NCW42,OUT045,3749.66422007035
NCX06,OUT049,3007.7273637838157
FDC37,OUT027,2891.2221100461074
FDZ14,OUT018,1963.2187334024595
DRG49,OUT049,3860.5373941693633
NCG06,OUT045,4108.65314708681
DRC36,OUT045,2866.4563742430887
FDV21,OUT019,281.60849861525514
FDB53,OUT046,2498.8763800881775
DRP47,OUT019,571.0583708931947
FDA14,OUT013,2449.3210249502395
DRC24,OUT035,2541.270215044517
FDW21,OUT018,1621.8802320841446
NCH29,OUT046,1556.9048992813277
FDU58,OUT013,3083.3999824898287
FDY27,OUT017,2908.166032413245
FDV56,OUT035,1653.9035599420126
FDT59,OUT046,3823.0690339738526
FDB23,OUT046,3777.7337711396535
FDR49,OUT045,780.5046547266267
FDB03,OUT010,573.1458518214241
FDN39,OUT045,2607.9527194796296
FDX02,OUT027,5846.802046552309
FDQ16,OUT027,2888.141336035162
FDU35,OUT018,1565.2209360537797
NCT29,OUT013,1984.6630506656466
FDZ27,OUT046,783.2128263885553
FDN57,OUT017,2046.2083409323773
FDA03,OUT018,2440.0038793097974
FDZ36,OUT045,3122.422973026893
NCU05,OUT013,1336.6795558464548
FDT39,OUT018,2398.7898159616207
FDK60,OUT017,1554.7239952477103
FDZ25,OUT017,2826.0434369844384
FDG12,OUT046,2066.929259438654
DRB01,OUT019,505.1563550225905
NCC43,OUT027,5846.802046552309
FDX13,OUT019,569.7051302344403
FDM22,OUT049,919.6282700323382
FDJ03,OUT027,1045.3940896367044
FDU14,OUT018,3864.3383665080605
FDB33,OUT010,378.8431130467666
FDP27,OUT046,3123.725993862939
FDO38,OUT010,156.97433457025267
FDE28,OUT027,5846.802046552309
FDO27,OUT035,1532.5759757536632
DRL23,OUT027,2882.0561091171326
FDS28,OUT046,894.1944742079141
FDX24,OUT013,1448.633761921701
FDZ02,OUT035,1552.5626679056318
FDL46,OUT045,1904.0410000369022
FDS60,OUT027,4748.821731495105
NCO06,OUT017,605.9531190464115
FDO16,OUT035,1370.1236596194437
FDC60,OUT049,1378.0575777144281
FDA48,OUT018,3447.3248797883834
FDZ36,OUT027,5141.5920071868695
FDK27,OUT045,2048.4005164567525
FDW23,OUT018,652.2606270031845
FDM14,OUT018,1702.3219113188409
FDM14,OUT013,1644.930030794093
FDW60,OUT018,2815.794692788051
FDE21,OUT013,1935.4463840914768
NCM42,OUT035,1655.266023890401
FDY59,OUT010,226.695941837076
DRI49,OUT049,1335.7084820015216
FDT28,OUT019,366.0673081127056
FDQ22,OUT018,654.4932995176588
FDR60,OUT049,1306.8604414327526
FDC50,OUT019,234.9852844990694
FDV24,OUT013,2395.6308029425077
DRF48,OUT010,492.26742058004487
FDQ47,OUT046,603.1680253726473
DRN36,OUT049,1547.9707290130405
NCY06,OUT035,2023.9772325769136
FDE52,OUT035,1378.019602330907
NCB54,OUT045,2016.2357772505668
NCF31,OUT035,2486.4381237877665
FDJ08,OUT027,5159.435030496076
NCC07,OUT017,1645.7112139297847
NCD19,OUT027,1185.984116487646
FDL46,OUT049,1955.108806748068
FDM20,OUT045,3969.10051053781
NCI06,OUT010,445.490025817651
DRM11,OUT035,4224.320402002013
NCH07,OUT018,2498.5067347506447
FDS23,OUT013,2007.9170931575418
FDO49,OUT018,824.7727412115903
FDS35,OUT049,1126.7886994837856
DRK39,OUT045,1362.314179298253
DRI39,OUT049,966.855757330194
FDV04,OUT017,2528.6336918193088
NCN14,OUT035,3053.404629766978
FDH08,OUT013,3754.307474032207
FDS20,OUT046,3134.7667899746184
FDV40,OUT049,1192.353714527185
FDZ48,OUT010,257.4131867691145
FDS24,OUT027,2511.7102421628624
FDK44,OUT049,2852.2081823968333
FDS48,OUT045,2519.4464040964563
FDK26,OUT010,494.19784454001484
FDD23,OUT045,3097.8351350132475
NCH54,OUT017,2599.2036793401226
NCP14,OUT010,239.92218486662318
FDM60,OUT010,131.85209367569695
FDV24,OUT017,2458.680394233366
FDH08,OUT018,3582.200672241258
FDS12,OUT027,3001.350207393158
FDR39,OUT027,4820.782151635656
FDP12,OUT027,895.1614798580387
DRF60,OUT027,5846.802046552309
FDC09,OUT035,1647.3687222266778
FDF50,OUT018,3001.967877874945
FDG28,OUT035,3966.59975995032
NCE19,OUT017,894.3318077182067
NCM53,OUT010,248.99893056067216
NCN18,OUT049,1723.2481170536992
FDF32,OUT035,3128.058591688813
FDF11,OUT013,3885.5741526537445
DRI59,OUT049,3721.1240602687258
NCG54,OUT035,2797.377250744493
FDM44,OUT046,1640.7044693695495
FDT57,OUT018,3650.1594692620765
FDV24,OUT046,2447.812467817252
FDI50,OUT019,571.2176066365317
FDS09,OUT035,791.4346641036043
NCC31,OUT027,4082.5050000944266
FDQ07,OUT019,572.7835423376359
FDC22,OUT017,3119.4728155824223
FDZ56,OUT046,2807.7156441438237
FDZ40,OUT019,131.85209367569695
FDS46,OUT027,2937.9248651888383
DRD24,OUT045,2087.1544833913945
FDV45,OUT017,3079.942289865839
FDL26,OUT045,2524.2826335731415
FDA56,OUT018,2014.1146200043252
FDN27,OUT046,1946.563892838933
FDM20,OUT049,3883.2421279113914
FDO16,OUT017,1356.819275005315
FDL03,OUT035,3003.297277275319
FDE58,OUT046,1928.531801523964
FDI02,OUT027,2927.8784207870367
NCC55,OUT019,131.85209367569695
FDR03,OUT018,3246.384619931984
FDB14,OUT017,1450.4170922666617
FDR45,OUT013,3880.288321157737
NCN07,OUT017,2055.285130176341
FDM51,OUT019,246.69100942339574
FDT52,OUT027,5846.802046552309
FDL26,OUT046,2504.5450108164446
NCZ42,OUT046,3910.7248723963526
DRI47,OUT019,365.15634853249134
FDW40,OUT013,2054.791543895097
FDN34,OUT046,2787.409080201955
FDS01,OUT035,2950.186729317793
NCG55,OUT045,1914.5681444651116
FDC11,OUT035,1358.2266716328616
FDX35,OUT018,3517.177305307701
NCB06,OUT046,2573.291783249484
FDR09,OUT019,571.0583708931947
FDC53,OUT017,1554.8463512056974
